a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.50-1
acl 2.2.53-1
adwaita-icon-theme 3.30.0-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
aom 1.0.0-1
apache 2.4.34-1
apr 1.6.3-1
apr-util 1.6.1-3
arandr 0.1.9-2
archlinux-keyring 20180808-1
arduino 1:1.8.5-1
arduino-avr-core 1.6.20-1
arduino-builder 1.3.25-3
arduino-ctags 5.8_arduino11-2
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.24.2+1+gf30b47f-2
attica 5.50.0-1
attr 2.4.48-1
audit 2.8.4-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+16+g1cc2b8e-2
avr-binutils 2.31.1-1
avr-gcc 8.2.0-1
avr-libc 2.0.0-1
avrdude 1:6.3-3
aws-cli 1.16.16-1
bash 4.4.023-1
bash-completion 2.8-1
bc 1.07.1-1
binutils 2.31.1-3
bison 3.0.5-1
bluedevil 1:5.13.5-1
blueman 2.0.6-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-qt 5.50.0-1
bluez-utils 5.50-3
boost-libs 1.67.0-7
bridge-utils 1.6-2
brotli 1.0.5-2
btrfs-progs 4.17.1-1
bubblewrap 0.3.0-1
byzanz 0.3.0.1-3
bzip2 1.0.6-8
c-ares 1.14.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.39-1
ca-certificates-utils 20180821-1
cabal-install 2.2.0.0-75
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
cfitsio 3.450-1
cgal 4.12-2
chromaprint 1.4.3-2
cifs-utils 6.8-2
clang 6.0.1-2
cmake 3.12.2-1
cmus 2.7.1-9
colord 1.4.3-2
compiler-rt 6.0.1-2
confuse 3.2.2-1
coreutils 8.30-1
cracklib 2.9.6-1
cryptsetup 2.0.4-1
cups 2.2.8-3
cups-filters 1.21.2-1
curl 7.61.1-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhcpcd 7.0.8-1
dialog 1:1.3_20180621-1
diffutils 3.6-1
djvulibre 3.5.27-3
dmenu 4.8-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20170711-1
docbook2x 0.8.8-15
docker 1:18.06.1-1
dosfstools 4.1-1
double-conversion 3.1.1-1
e2fsprogs 1.44.4-1
eigen 3.3.5-3
elfutils 0.171-1
enca 1.19-2
enchant 2.2.3-1
ethtool 1:4.18-1
evince 3.30.0+8+g238f8ee6-1
exiv2 0.26-2
exo 0.12.2-1
expat 2.2.6-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
farstream 0.2.8-1
feh 2.27.1-1
ffmpeg 1:4.0.2-2
fftw 3.3.8-1
file 5.34-1
filesystem 2018.8-1
findutils 4.6.0-2
firefox 62.0-1
fish 2.7.1-1
flac 1.3.2-1
flashplugin 31.0.0.108-1
flex 2.6.4-1
flite 2.1-1
fontconfig 2:2.13.0+15+gc60ed9e-1
freeglut 3.0.0-2
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.5-1
fuse2 2.9.8-1
fuseiso 20070708-6
fzf 0.17.4-1
gamin 0.1.10-9
garcon 0.6.1-1
gawk 4.2.1-1
gc 7.6.6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-4
gd 2.2.5-1
gdal 2.3.1-5
gdb 8.2-2
gdb-common 8.2-2
gdbm 1.17-1
gdk-pixbuf2 2.38.0-1
gdm 3.30.0+4+g839c9501-1
geoclue2 2.4.12-1
geocode-glib 3.26.0-1
geos 3.6.2-1
gettext 0.19.8.1-2
ghc 8.4.3-1
ghc-libs 8.4.3-1
ghostscript 9.25-2
giblib 1.2.4-7
giflib 5.1.4-1
git 2.19.0-1
gjs 2:1.54.0+3+g15cf7c29-1
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.0+31+g2a7d4d2dc-1
glibc 2.28-4
glibmm 2.56.0-1
glu 9.0.0-5
gmp 6.1.2-1
gnome-bluetooth 3.28.2-1
gnome-desktop 1:3.30.0-1
gnome-session 3.30.0-1
gnome-settings-daemon 3.30.0-1
gnome-shell 3.30.0+25+g179cd0a3c-1
gnome-themes-extra 3.28-1
gnupg 2.2.10-1
gnutls 3.5.19-2
gobject-introspection-runtime 1.58.0+2+g1f1dd7f4-2
google-chrome 69.0.3497.100-1
gparted 0.32.0-1
gpgme 1.11.1-2
gpm 1.20.7-8
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-1
groff 1.22.3-7
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsm 1.0.18-1
gspell 1.8.1-1
gst-plugins-bad 1.14.3-1
gst-plugins-base 1.14.3-1
gst-plugins-base-libs 1.14.3-1
gst-plugins-good 1.14.3-1
gstreamer 1.14.3-1
gtk-update-icon-cache 3.24.0+33+g8fd2d461fc-1
gtk-xfce-engine 2.10.1-2
gtk2 2.24.32-1
gtk3 3.24.0+33+g8fd2d461fc-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.9-2
gtkspell 2.0.16-7
guile 2.2.4-1
guile2.0 2.0.14-1
gvfs 1.38.0+3+g7da3b0ba-1
gvim 8.1.0374-1
gzip 1.9-1
harfbuzz 1.9.0-1
harfbuzz-icu 1.9.0-1
haskell-async 2.2.1-2
haskell-base16-bytestring 0.1.1.6-9
haskell-base64-bytestring 1.0.0.1-12
haskell-cryptohash-sha256 0.11.101.0-4
haskell-echo 0.1.3-6
haskell-ed25519 0.0.5.0-8
haskell-edit-distance 0.2.2.1-9
haskell-hackage-security 0.5.3.0-26
haskell-hashable 1.2.7.0-3
haskell-http 4000.3.12-54
haskell-network 2.7.0.2-8
haskell-network-uri 2.6.1.0-13
haskell-random 1.1-12
haskell-resolv 0.1.1.1-12
haskell-tar 0.5.1.0-3
haskell-zlib 0.6.2-3
hdf5 1.10.3-1
hicolor-icon-theme 0.17-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hyphen 2.8.8-2
i3-wm 4.15-1
i3status 2.12-1
iana-etc 20180221-1
icu 62.1-1
ijs 0.35-1
ilmbase 2.3.0-1
imagemagick 7.0.8.11-1
imlib2 1.5.1-1
inetutils 1.9.4-5
intltool 0.51.0-3
iproute2 4.18.0-1
iptables 1.8.0-1
iputils 20180629.f6aac8d-2
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.14-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-5
jre8-openjdk 8.u181-1
